gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953783,2_DR0701_Day 14_lib41155,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953784,2_DR0701_Day 14_lib41156,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953785,2_DR0701_Day 14_lib41157,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953786,2_DR0701_Day 14_lib41158,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953787,2_DR0701_Day 14_lib41159,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953788,2_DR0701_Day 14_lib41160,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953789,2_DR0701_Day 14_lib41161,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953790,2_DR0701_Day 14_lib41162,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953791,2_DR0701_Day 14_lib41163,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953792,2_DR0701_Day 14_lib41164,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953793,2_DR0701_Day 14_lib41165,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953794,2_DR0701_Day 14_lib41166,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953795,2_DR0701_Day 14_lib41167,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953796,2_DR0701_Day 14_lib41168,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953797,2_DR0701_Day 14_lib41169,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953798,2_DR0701_Day 14_lib41170,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953799,2_DR0701_Day 14_lib41171,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953800,2_DR0701_Day 14_lib41172,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953801,2_DR0701_Day 14_lib41173,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953802,2_DR0701_Day 14_lib41174,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953803,2_DR0701_Day 14_lib41175,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953804,2_DR0701_Day 14_lib41176,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953805,2_DR0701_Day 14_lib41177,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953806,2_DR0701_Day 14_lib41178,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953807,2_DR0701_Day 14_lib41179,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953808,2_DR0701_Day 14_lib41180,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953809,2_DR0701_Day 14_lib41181,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953810,2_DR0701_Day 14_lib41182,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953811,2_DR0701_Day 14_lib41183,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953812,2_DR0701_Day 14_lib41184,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953813,2_DR0701_Day 14_lib41185,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953814,2_DR0701_Day 14_lib41186,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953815,2_DR0701_Day 14_lib41187,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953816,2_DR0701_Day 14_lib41188,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953817,2_DR0701_Day 14_lib41189,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953818,2_DR0701_Day 14_lib41190,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953819,2_DR0701_Day 14_lib41191,CD4 T cell,2,DR0701,TRUE,Day 14
